MESH_NM	MESH_ACC_TXT	CTD_ACTION_CD	MGI_ACTION_CD	OMIM_NM	OMIM_ID	OMIM_Designation	CREATE_BY	CREATE_BY_DATE	MOD_BY	MOD_BY_DATE	CURATOR_NOTE															
Adrenal Gland Diseases	D000307	L	L	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS	611812	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Kidney Diseases	D007674	L	L	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS	611812	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Lung Diseases	D008171	L	L	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS	611812	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
46, XX Disorders of Sex Development	D058489	L	L	46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS	611812	#	apd	05/12/10	apd	07/28/11	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Gonadal Dysgenesis, 46,XY	D006061	L	L	46,XY GONADAL DYSGENESIS, COMPLETE OR PARTIAL, WITH OR WITHOUT ADRENAL FAILURE	612965	#	apd	05/12/10	apd	05/25/11	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Ovotesticular Disorders of Sex Development	D012734	L	L	46,XY GONADAL DYSGENESIS, COMPLETE, CBX2-RELATED	613080	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Gonadal Dysgenesis, 46,XY	D006061	L	L	46,XY GONADAL DYSGENESIS, COMPLETE, CBX2-RELATED	613080	#	apd	05/12/10	apd	05/25/11	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Ovotesticular Disorders of Sex Development	D050090	L	L	46,XY GONADAL DYSGENESIS, COMPLETE, SRY-RELATED	400044	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Gonadal Dysgenesis, 46,XY	D006061	L	L	46,XY GONADAL DYSGENESIS, COMPLETE, SRY-RELATED	400044	#	apd	05/12/10	apd	05/25/11	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Down Syndrome	D004314	L	L	5-HYDROXYTRYPTAMINE OXYGENASE REGULATOR	143460	[blank]	apd	05/12/10	apd	05/12/10																
ABCD syndrome	C535334	M	M	ABCD SYNDROME	600501	#	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011 term															
Abdominal obesity metabolic syndrome	C535554	M	M	ABDOMINAL OBESITY-METABOLIC SYNDROME	605552	%	apd	05/12/10	apd	03/24/11	mapped to new MESH 2011															
Abetalipoproteinemia	D000012	M	M	ABETALIPOPROTEINEMIA	200100	#	apd	05/12/10	apd	05/12/10																
Abidi X-linked mental retardation syndrome	C535556	M	M	ABIDI X-LINKED MENTAL RETARDATION SYNDROME	300262	%	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011 term															
Familial apoceruloplasmin deficiency	C536004	M	L	ACERULOPLASMINEMIA	604290	#	apd	05/12/10	apd	05/25/11																
Hip Dislocation, Congenital	D006618	L	L	ACETABULAR DYSPLASIA	142700	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	M	M	ACETYL-COA ACETYLTRANSFERASE 2	100678	+	apd	05/12/10	apd	05/12/10																
Metabolism, Inborn Errors	D008661	M	M	ACETYL-COA CARBOXYLASE-ALPHA	200350	+	apd	05/12/10	apd	05/12/10																
Esophageal Achalasia	D004931	M	M	ACHALASIA, FAMILIAL ESOPHAGEAL	200400	%	smb	09/27/10	smb	09/27/10	from Joel's review 															
Achalasia Addisonianism Alacrimia syndrome	C536008	M	M	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME	231550	#	apd	05/12/10	apd	03/24/11	mapped to new MESH 2011															
Acheiropodia	C536014	M	M	ACHEIROPODY	200500	#	apd	05/12/10	apd	05/25/11																
Achondrogenesis type 1A	C536015	M	M	ACHONDROGENESIS, TYPE IA	200600	#	apd	05/12/10	apd	05/25/11	May 2010 OMIM-CTD synch. (reported by Tom; curated by APD)															
Achondrogenesis type 1B	C536016	M	M	ACHONDROGENESIS, TYPE IB	600972	#	apd	05/12/10	apd	05/25/11																
Achondrogenesis type 2	C536017	M	M	ACHONDROGENESIS, TYPE II	200610	#	apd	05/12/10	apd	05/25/11																
Achondroplasia	D000130	M	M	ACHONDROPLASIA	100800	#	apd	05/12/10	apd	05/12/10																
Achromatopsia 2	C536128	M	M	ACHROMATOPSIA 2	216900	#	apd	05/12/10	apd	05/25/11																
Achromatopsia 3	C536129	M	M	ACHROMATOPSIA 3	262300	#	apd	05/12/10	apd	05/25/11																
Hidradenitis suppurativa, familial	C538118	M	L	ACNE INVERSA, FAMILIAL, 1	142690	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Hidradenitis suppurativa, familial	C538118	M	L	ACNE INVERSA, FAMILIAL, 2	613736	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Hidradenitis suppurativa, familial	C538118	M	L	ACNE INVERSA, FAMILIAL, 3	613737	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Acrocallosal Syndrome	D055673	M	M	ACROCALLOSAL SYNDROME	200990	#	apd	05/12/10	apd	05/12/10																
Growth Disorders	D006130	L	L	ACROCAPITOFEMORAL DYSPLASIA	607778	#	apd	05/12/10	apd	05/12/10																
Hand Deformities, Congenital	D006228	L	L	ACROCAPITOFEMORAL DYSPLASIA	607778	#	apd	05/12/10	apd	05/12/10																
Acrodermatitis enteropathica	C538178	M	L	ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE	201100	#	apd	05/12/10	apd	05/25/11																
Acrofacial dysostosis, Nager type	C538184	M	M	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE	154400	%	apd	05/12/10	apd	05/25/11																
Darier Disease	D007644	L	L	ACROKERATOSIS VERRUCIFORMIS	101900	#	apd	05/12/10	apd	05/25/11																
Acromegaloid features, overgrowth, cleft palate, and hernia	C535656	M	M	ACROMEGALOID FEATURES, OVERGROWTH, CLEFT PALATE, AND HERNIA	606049	%	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011 term															
Acromesomelic dysplasia Hunter-Thompson type	C535660	M	M	ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON TYPE	201250	#	apd	05/12/10	apd	05/25/11																
Acromesomelic dysplasia, Maroteaux type	C535661	M	M	ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE	602875	#	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011 term															
Acropectoral syndrome	C535664	M	M	ACROPECTORAL SYNDROME	605967	%	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011 term															
Musculoskeletal Abnormalities	D009139	L	L	ACROPECTOROVERTEBRAL DYSPLASIA, F-FORM OF	102510	%	apd	05/12/10	apd	05/12/10																
Adrenal Insufficiency	D000309	L	L	ACTH DEFICIENCY	201400	#	apd	05/12/10	apd	05/12/10																
Hypoglycemia	D007003	L	L	ACTH DEFICIENCY	201400	#	apd	05/12/10	apd	05/12/10																
Myoclonus	D009207	L	L	ACTION MYOCLONUS-RENAL FAILURE SYNDROME	254900	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Renal Insufficiency	D051437	L	L	ACTION MYOCLONUS-RENAL FAILURE SYNDROME	254900	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Dextrocardia	D003914	M	M	ACTIVIN A RECEPTOR, TYPE IIB	602730	+	apd	05/12/10	apd	05/12/10																
Leukemia, Myeloid, Acute	D015470	M	L	ACUTE MYELOGENOUS LEUKEMIA	602439	%	apd	05/12/10	apd	05/12/10																
Leukemia, Promyelocytic, Acute	D015473	M	M	ACUTE PROMYELOCYTIC LEUKEMIA	612376	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Lipid Metabolism, Inborn Errors	D008052	L	L	ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 9, DEFICIENCY OF	611126	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mitochondrial Diseases	D028361	L	L	ACYL-CoA DEHYDROGENASE FAMILY, MEMBER 9, DEFICIENCY OF	611126	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Metabolism, Inborn Errors	D008661	L	L	ACYL-COA DEHYDROGENASE, MEDIUM-CHAIN, DEFICIENCY OF	201450	#	apd	05/12/10	apd	05/12/10																
Metabolism, Inborn Errors	D008661	L	L	ACYL-COA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF	201470	#	apd	05/12/10	apd	05/12/10																
VLCAD deficiency	C536353	M	L	ACYL-COA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF	201475	#	apd	05/12/10	apd	06/02/11																
Adams Oliver syndrome	C538225	M	M	ADAMS-OLIVER SYNDROME	100300	%	apd	05/12/10	apd	03/24/11	mapped to new MESH 2011															
Urolithiasis	D052878	M	M	ADENINE PHOSPHORIBOSYLTRANSFERASE	102600	+	apd	05/12/10	apd	05/12/10																
Adenomatous Polyposis Coli	D011125	M	M	ADENOMATOUS POLYPOSIS OF THE COLON	175100	+	apd	05/12/10	apd	05/12/10																
Adenosine monophosphate deaminase deficiency	C538234	M	M	ADENOSINE MONOPHOSPHATE DEAMINASE 1	102770	+	apd	05/12/10	apd	05/26/11																
Metabolism, Inborn Errors	D008661	L	L	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES	102900	#	smb	07/28/10	smb	07/28/10	sue's 59 MGI diseases not yet in CTD															
Polycythemia	D011086	L	L	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES	102900	#	smb	07/28/10	smb	07/28/10	sue's 59 MGI diseases not yet in CTD															
Anemia, Hemolytic, Congenital	D000745	L	L	ADENYLATE KINASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO	612631	#	apd	05/12/10	apd	08/22/11	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Metabolism, Inborn Errors	D008661	L	L	ADENYLATE KINASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO	612631	#	apd	05/12/10	apd	08/22/11	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Adenylosuccinate lyase deficiency	C538235	M	L	ADENYLOSUCCINASE DEFICIENCY	103050	#	apd	05/12/10	apd	03/03/11	mapped to new MESH 2011 term															
Adrenal hyperplasia 2	C538236	M	M	ADRENAL HYPERPLASIA II	201810	+	apd	05/12/10	apd	05/26/11																
Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency	C535978	M	M	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 11-BETA-HYDROXYLASE DEFICIENCY	202010	+	apd	05/12/10	apd	05/26/11																
Adrenal Hyperplasia, Congenital	D000312	L	L	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY	202110	#	apd	05/12/10	apd	05/12/10																
Congenital adrenal hyperplasia due to 21 hydroxylase deficiency	C535979	M	M	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY	201910	+	apd	05/12/10	apd	05/26/11																
Adrenal Hyperplasia, Congenital	D000312	M	M	ADRENAL HYPOPLASIA, CONGENITAL	300200	#	apd	05/12/10	apd	05/12/10																
Adrenocortical Carcinoma	D018268	L	L	ADRENOCORTICAL CARCINOMA, HEREDITARY	202300	#	apd	05/12/10	apd	05/12/10																
Adrenoleukodystrophy	D000326	M	M	ADRENOLEUKODYSTROPHY	300100	#	apd	05/12/10	apd	05/12/10																
Adrenoleukodystrophy	D000326	L	L	ADRENOLEUKODYSTROPHY, AUTOSOMAL NEONATAL FORM	202370	#	apd	05/12/10	apd	05/12/10																
Propping Zerres syndrome	C538052	M	L	ADULT SYNDROME	103285	#	apd	05/12/10	apd	05/26/11																
Sleep Disorders, Circadian Rhythm	D020178	L	L	ADVANCED SLEEP-PHASE SYNDROME, FAMILIAL	604348	#	apd	05/12/10	apd	05/12/10																
Afibrinogenemia congenital	C531603	M	M	AFIBRINOGENEMIA, CONGENITAL	202400	#	apd	05/12/10	apd	05/26/11																
Agammaglobulinemia	D000361	L	L	AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE	601495	#	apd	05/12/10	apd	05/12/10																
Agammaglobulinemia	D000361	M	L	AGAMMAGLOBULINEMIA 2, AUTOSOMAL RECESSIVE	613500	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Agammaglobulinemia	D000361	M	L	AGAMMAGLOBULINEMIA 3, AUTOSOMAL RECESSIVE	613501	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Agammaglobulinemia	D000361	L	L	AGAMMAGLOBULINEMIA 4, AUTOSOMAL RECESSIVE	613502	#	apd	10/13/10	apd	10/13/10	added to replace gene page: OMIM:604515															
Agammaglobulinemia	D000361	M	L	AGAMMAGLOBULINEMIA 5, AUTOSOMAL DOMINANT	613506	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Agammaglobulinemia	D000361	L	L	AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE	612692	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Agammaglobulinemia	D000361	L	L	AGAMMAGLOBULINEMIA, X-LINKED	300755	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Agammaglobulinemia, X-linked, type 2	C538057	M	M	AGAMMAGLOBULINEMIA, X-LINKED, TYPE 2	300310	%	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011 term															
Hearing Loss	D034381	L	L	AGE-RELATED HEARING IMPAIRMENT 1	612448	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Hearing Loss	D034381	L	L	AGE-RELATED HEARING IMPAIRMENT 2	612976	%	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Blindness	D001766	L	L	AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE, DEFICIENCY OF	608688	#	apd	05/12/10	apd	05/12/10																
Metabolism, Inborn Errors	D008661	L	L	AICAR TRANSFORMYLASE/IMP CYCLOHYDROLASE, DEFICIENCY OF	608688	#	apd	05/12/10	apd	05/12/10																
Aicardi Syndrome	D058540	M	M	AICARDI SYNDROME	304050	%	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011															
Aicardi-Goutieres syndrome	C535607	M	L	AICARDI-GOUTIERES SYNDROME 1	225750	#	apd	05/12/10	apd	05/26/11																
Aicardi-Goutieres syndrome	C535607	M	L	AICARDI-GOUTIERES SYNDROME 2	610181	#	apd	05/12/10	apd	05/26/11																
Aicardi-Goutieres syndrome	C535607	M	L	AICARDI-GOUTIERES SYNDROME 3	610329	#	apd	05/12/10	apd	05/26/11																
Aicardi-Goutieres syndrome	C535607	M	L	AICARDI-GOUTIERES SYNDROME 4	610333	#	apd	05/12/10	apd	05/26/11																
Aicardi-Goutieres syndrome 5	C535608	M	M	AICARDI-GOUTIERES SYNDROME 5	612952	#	apd	05/12/10	apd	10/13/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD); new mapping to MESH 2011															
Alagille Syndrome	D016738	M	L	ALAGILLE SYNDROME 1	118450	#	apd	05/12/10	apd	05/12/10																
Alagille Syndrome	D016738	M	L	ALAGILLE SYNDROME 2	610205	#	apd	05/12/10	apd	05/12/10																
Ocular Albinism type 1	C537863	M	M	ALBINISM, OCULAR, TYPE I	300500	+	apd	05/12/10	apd	04/27/11																
Albinism, Ocular	D016117	L	L	ALBINISM, OCULAR, TYPE II	300600	%	apd	05/12/10	apd	05/12/10																
Albinism ocular late onset sensorineural deafness	C537043	M	M	ALBINISM, OCULAR, WITH LATE-ONSET SENSORINEURAL DEAFNESS	300650	[blank]	apd	05/12/10	apd	04/27/11																
Albinism, Ocular	D016117	L	L	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS	103470	#	apd	05/12/10	apd	05/12/10																
Hearing Loss, Sensorineural	D006319	L	L	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS	103470	#	apd	05/12/10	apd	05/26/11																
Oculocutaneous albinism type 1	C537728	M	M	ALBINISM, OCULOCUTANEOUS, TYPE IA	203100	#	apd	05/12/10	apd	07/26/11																
Oculocutaneous albinism type 1B	C537729	M	M	ALBINISM, OCULOCUTANEOUS, TYPE IB	606952	#	apd	05/12/10	apd	04/26/11																
Albinism deafness syndrome	C537042	M	M	ALBINISM-DEAFNESS SYNDROME	300700	%	apd	05/12/10	apd	03/24/11																
Hyperthyroxinemia	D006981	M	M	ALBUMIN	103600	+	apd	05/12/10	apd	05/12/10																
Alcoholism	D000437	M	M	ALCOHOL DEPENDENCE	103780	#	apd	05/12/10	apd	05/12/10																
Alcohol-Related Disorders	D019973	L	L	ALCOHOL SENSITIVITY, ACUTE	610251	#	smb	07/28/10	smb	07/28/10	sue's 59 MGI diseases not yet in CTD															
Flushing	D005483	M	M	ALDEHYDE DEHYDROGENASE 2 FAMILY	100650	+	apd	05/12/10	apd	05/12/10																
Substance Withdrawal Syndrome	D013375	M	M	ALDEHYDE DEHYDROGENASE 2 FAMILY	100650	+	apd	05/12/10	apd	05/12/10																
Genetic Predisposition to Disease	D020022	M	M	ALDEHYDE DEHYDROGENASE 2 FAMILY	100650	+	apd	05/12/10	apd	05/12/10																
Anemia, Hemolytic, Congenital Nonspherocytic	D000746	L	L	ALDOLASE A DEFICIENCY	611881	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Metabolism, Inborn Errors	D008661	L	L	ALDOLASE A DEFICIENCY	611881	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Muscle Weakness	D018908	L	L	ALDOLASE A DEFICIENCY	611881	#	apd	05/12/10	apd	10/01/10	added new mapping															
Alexander Disease	D038261	M	M	ALEXANDER DISEASE	203450	#	apd	05/12/10	apd	05/12/10																
Alkaptonuria	D000474	M	M	ALKAPTONURIA	203500	#	apd	05/12/10	apd	05/12/10																
Allan-Herndon-Dudley syndrome	C537047	M	M	ALLAN-HERNDON-DUDLEY SYNDROME	300523	#	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011															
Rhinitis	D012220	L	L	ALLERGIC RHINITIS	607154	#	apd	05/12/10	apd	05/12/10																
Alopecia Areata	D000506	M	L	ALOPECIA AREATA 1	104000	%	smb	09/27/10	smb	09/27/10	from Joel's review 															
Alopecia Areata	D000506	M	L	ALOPECIA AREATA 2	610753	%	smb	09/27/10	smb	09/27/10	from Joel's review 															
Alopecia universalis	C537055	M	L	ALOPECIA UNIVERSALIS CONGENITA	203655	#	apd	05/12/10	apd	05/26/11																
Alopecia	D000505	M	L	ALOPECIA, ANDROGENETIC, 1	109200	%	apd	05/12/10	apd	08/18/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD); edit to M based on OMIM name being a MESH syn.															
Alopecia	D000505	M	L	ALOPECIA, ANDROGENETIC, 2	300710	%	apd	05/12/10	apd	08/18/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD); edit to M based on OMIM name being a MESH syn.															
Alopecia	D000505	M	L	ALOPECIA, ANDROGENETIC, 3	612421	%	apd	05/12/10	apd	08/18/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD); edit to M based on OMIM name being a MESH syn.															
Alopecia	D000505	L	L	ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCRINOPATHY SYNDROME	612079	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Endocrine System Diseases	D004700	L	L	ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCRINOPATHY SYNDROME	612079	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Nervous System Diseases	D009422	L	L	ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCRINOPATHY SYNDROME	612079	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Alopecia	D000505	L	L	ALOPECIA-MENTAL RETARDATION SYNDROME 1	203650	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	ALOPECIA-MENTAL RETARDATION SYNDROME 1	203650	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Alopecia	D000505	L	L	ALOPECIA-MENTAL RETARDATION SYNDROME 2	610422	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	ALOPECIA-MENTAL RETARDATION SYNDROME 2	610422	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Intellectual Disability  	D008607	L		ALOPECIA-MENTAL RETARDATION SYNDROME 3	613930	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Alopecia	D000505	L		ALOPECIA-MENTAL RETARDATION SYNDROME 3	613930	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Cytomegalovirus Infections	D003586	L	L	ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE CYTOMEGALOVIRUS INFECTION, AND AUTOIMMUNITY	609889	#	apd	05/12/10	apd	05/12/10																
Lymphopenia	D008231	L	L	ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE CYTOMEGALOVIRUS INFECTION, AND AUTOIMMUNITY	609889	#	apd	05/12/10	apd	05/26/11																
alpha 1-Antitrypsin Deficiency	D019896	M	M	ALPHA-1-ANTITRYPSIN DEFICIENCY	613490	#	apd	10/13/10	apd	10/13/10	created to replace gene OMIM:107400															
Heart Failure	D006333	M	M	ALPHA-2C-ADRENERGIC RECEPTOR	104250	+	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Alzheimer Disease	D000544	M	M	ALPHA-2-MACROGLOBULIN	103950	+	apd	05/12/10	apd	05/12/10																
Blood Protein Disorders	D001796	M	M	ALPHA-2-MACROGLOBULIN	103950	+	apd	05/12/10	apd	05/12/10																
Lung Diseases, Obstructive	D008173	M	M	ALPHA-2-MACROGLOBULIN	103950	+	apd	05/12/10	apd	05/12/10																
Alpha-2-plasmin inhibitor deficiency	C537777	M	M	ALPHA-2-PLASMIN INHIBITOR DEFICIENCY	262850	+	apd	05/12/10	apd	10/13/10	mapped to new MESH 2011															
Cardiomyopathy, Hypertrophic	D002312	L	L	ALPHA-B CRYSTALLINOPATHY	608810	#	apd	05/12/10	apd	05/12/10																
Cataract	D002386	L	L	ALPHA-B CRYSTALLINOPATHY	608810	#	apd	05/12/10	apd	05/12/10																
Muscular Diseases	D009135	L	L	ALPHA-B CRYSTALLINOPATHY	608810	#	apd	05/12/10	apd	05/12/10																
Alpha-ketoglutarate dehydrogenase deficiency	C536582	M	M	ALPHA-KETOGLUTARATE DEHYDROGENASE DEFICIENCY	203740	+	apd	05/12/10	apd	05/12/10																
Metabolism, Inborn Errors	D008661	L	L	ALPHA-METHYLACETOACETIC ACIDURIA	203750	#	apd	05/12/10	apd	05/12/10																
Hereditary Motor and Sensory Neuropathies	D015417	M	M	ALPHA-METHYLACYL-COA RACEMASE	604489	+	apd	05/12/10	apd	05/12/10																
